         t              x              v
  2.980000      -0.062741      -0.329678
  2.990000      -0.065957      -0.313432
  3.000000      -0.069007      -0.296418
  3.010000      -0.071883      -0.278679
  3.020000      -0.074578      -0.260259
  3.030000      -0.077086      -0.241203
  3.040000      -0.079400      -0.221557
  3.050000      -0.081515      -0.201372
  3.060000      -0.083426      -0.180695
  3.070000      -0.085128      -0.159578
  3.080000      -0.086616      -0.138072
  3.090000      -0.087888      -0.116230
  3.100000      -0.088940      -0.094106
  3.110000      -0.089769      -0.071752
  3.120000      -0.090374      -0.049224
  3.130000      -0.090753      -0.026576
  3.140000      -0.090906      -0.003863
  3.150000      -0.090831       0.018858
  3.160000      -0.090529       0.041531
  3.170000      -0.090000       0.064098
  3.180000      -0.089247       0.086500
  3.190000      -0.088271       0.108680
  3.200000      -0.087074       0.130581
  3.210000      -0.085660       0.152147
  3.220000      -0.084033       0.173324
  3.230000      -0.082195       0.194056
  3.240000      -0.080153       0.214291
  3.250000      -0.077911       0.233978
  3.260000      -0.075476       0.253066
  3.270000      -0.072852       0.271508
  3.280000      -0.070048       0.289256
  3.290000      -0.067070       0.306266
  3.300000      -0.063925       0.322496
  3.310000      -0.060622       0.337904
  3.320000      -0.057170       0.352452
  3.330000      -0.053576       0.366104
  3.340000      -0.049851       0.378827
  3.350000      -0.046003       0.390589
  3.360000      -0.042043       0.401362
  3.370000      -0.037979       0.411119
  3.380000      -0.033824       0.419837
  3.390000      -0.029586       0.427496
  3.400000      -0.025277       0.434076
  3.410000      -0.020908       0.439564
  3.420000      -0.016490       0.443947
  3.430000      -0.012033       0.447215
  3.440000      -0.007549       0.449362
  3.450000      -0.003049       0.450383
  3.460000       0.001455       0.450278
  3.470000       0.005952       0.449049
  3.480000       0.010432       0.446699
  3.490000       0.014883       0.443237
  3.500000       0.019293       0.438672
  3.510000       0.023652       0.433018
  3.520000       0.027950       0.426289
  3.530000       0.032175       0.418504
  3.540000       0.036316       0.409683
  3.550000       0.040365       0.399850
  3.560000       0.044310       0.389030
  3.570000       0.048142       0.377251
  3.580000       0.051852       0.364542
  3.590000       0.055430       0.350937
  3.600000       0.058868       0.336470
  3.610000       0.062157       0.321176
  3.620000       0.065289       0.305095
  3.630000       0.068256       0.288266
  3.640000       0.071052       0.270732
  3.650000       0.073669       0.252535
  3.660000       0.076101       0.233721
  3.670000       0.078341       0.214337
  3.680000       0.080385       0.194429
  3.690000       0.082228       0.174047
  3.700000       0.083865       0.153241
  3.710000       0.085292       0.132061
  3.720000       0.086505       0.110560
  3.730000       0.087502       0.088789
  3.740000       0.088280       0.066803
  3.750000       0.088838       0.044654
  3.760000       0.089173       0.022396
  3.770000       0.089285       0.000084
  3.780000       0.089175      -0.022228
  3.790000       0.088841      -0.044483
  3.800000       0.088285      -0.066624
  3.810000       0.087509      -0.088593
  3.820000       0.086514      -0.110336
  3.830000       0.085303      -0.131795
  3.840000       0.083879      -0.152917
  3.850000       0.082246      -0.173647
  3.860000       0.080408      -0.193932
  3.870000       0.078369      -0.213721
  3.880000       0.076135      -0.232964
  3.890000       0.073712      -0.251610
  3.900000       0.071105      -0.269614
  3.910000       0.068322      -0.286930
  3.920000       0.065369      -0.303514
  3.930000       0.062254      -0.319325
  3.940000       0.058985      -0.334322
  3.950000       0.055571      -0.348470
  3.960000       0.052019      -0.361732
  3.970000       0.048339      -0.374076
  3.980000       0.044541      -0.385472
  3.990000       0.040633      -0.395892
  4.000000       0.036626      -0.405311
  4.010000       0.032530      -0.413705
  4.020000       0.028355      -0.421056
  4.030000       0.024113      -0.427346
  4.040000       0.019812      -0.432560
  4.050000       0.015465      -0.436687
  4.060000       0.011082      -0.439718
  4.070000       0.006674      -0.441646
  4.080000       0.002253      -0.442469
  4.090000      -0.002171      -0.442186
  4.100000      -0.006587      -0.440798
  4.110000      -0.010984      -0.438311
  4.120000      -0.015350      -0.434733
  4.130000      -0.019675      -0.430073
  4.140000      -0.023948      -0.424345
  4.150000      -0.028158      -0.417565
  4.160000      -0.032296      -0.409750
  4.170000      -0.036350      -0.400921
  4.180000      -0.040311      -0.391101
  4.190000      -0.044169      -0.380315
  4.200000      -0.047914      -0.368592
  4.210000      -0.051537      -0.355961
  4.220000      -0.055030      -0.342454
  4.230000      -0.058384      -0.328106
  4.240000      -0.061590      -0.312952
  4.250000      -0.064640      -0.297030
  4.260000      -0.067528      -0.280381
  4.270000      -0.070245      -0.263045
  4.280000      -0.072787      -0.245065
  4.290000      -0.075145      -0.226486
  4.300000      -0.077314      -0.207354
  4.310000      -0.079290      -0.187716
  4.320000      -0.081067      -0.167620
  4.330000      -0.082641      -0.147115
  4.340000      -0.084008      -0.126251
  4.350000      -0.085165      -0.105080
  4.360000      -0.086109      -0.083653
  4.370000      -0.086838      -0.062022
  4.380000      -0.087349      -0.040240
  4.390000      -0.087642      -0.018360
  4.400000      -0.087716       0.003564
  4.410000      -0.087571       0.025479
  4.420000      -0.087207       0.047329
  4.430000      -0.086625       0.069057
  4.440000      -0.085826       0.090609
  4.450000      -0.084813       0.111927
  4.460000      -0.083589       0.132960
  4.470000      -0.082155       0.153651
  4.480000      -0.080517       0.173949
  4.490000      -0.078678       0.193801
  4.500000      -0.076642       0.213158
  4.510000      -0.074416       0.231970
  4.520000      -0.072005       0.250189
  4.530000      -0.069415       0.267770
  4.540000      -0.066652       0.284667
